t,v
9.76e-05,-0.972432
9.77e-05,-0.973511
9.78e-05,-0.974588
9.79e-05,-0.975665
9.8e-05,-0.97674
9.81e-05,-0.977813
9.82e-05,-0.978885
9.83e-05,-0.979956
9.84e-05,-0.981026
9.85e-05,-0.982094
9.86e-05,-0.98316
9.87e-05,-0.984225
9.88e-05,-0.985289
9.89e-05,-0.986351
9.9e-05,-0.987412
9.91e-05,-0.988472
9.92e-05,-0.98953
9.93e-05,-0.990587
9.94e-05,-0.991642
9.95e-05,-0.992696
9.96e-05,-0.993748
9.97e-05,-0.994799
9.98e-05,-0.995849
9.99e-05,-0.996897
0.0001,-0.997944
0.0001001,-0.998989
0.0001002,-1.00003
0.0001003,-1.00107
0.0001004,-1.00212
0.0001005,-1.00316
0.0001006,-1.00419
0.0001007,-1.00523
0.0001008,-1.00626
0.0001009,-1.0073
0.000101,-1.00833
0.0001011,-1.00936
0.0001012,-1.01039
0.0001013,-1.01142
0.0001014,-1.01244
0.0001015,-1.01347
0.0001016,-1.01449
0.0001017,-1.01551
0.0001018,-1.01653
0.0001019,-1.01755
0.000102,-1.01857
0.0001021,-1.01959
0.0001022,-1.0206
0.0001023,-1.02161
0.0001024,-1.02262
0.0001025,-1.02363
0.0001026,-1.02464
0.0001027,-1.02565
0.0001028,-1.02665
0.0001029,-1.02766
0.000103,-1.02866
0.0001031,-1.02966
0.0001032,-1.03066
0.0001033,-1.03166
0.0001034,-1.03265
0.0001035,-1.03365
0.0001036,-1.03464
0.0001037,-1.03563
0.0001038,-1.03662
0.0001039,-1.03761
0.000104,-1.0386
0.0001041,-1.03958
0.0001042,-1.04057
0.0001043,-1.04155
0.0001044,-1.04253
0.0001045,-1.04351
0.0001046,-1.04449
0.0001047,-1.04546
0.0001048,-1.04644
0.0001049,-1.04741
0.000105,-1.04838
0.0001051,-1.04935
0.0001052,-1.05032
0.0001053,-1.05129
0.0001054,-1.05225
0.0001055,-1.05322
0.0001056,-1.05418
0.0001057,-1.05514
0.0001058,-1.0561
0.0001059,-1.05706
0.000106,-1.05801
0.0001061,-1.05897
0.0001062,-1.05992
0.0001063,-1.06087
0.0001064,-1.06182
0.0001065,-1.06277
0.0001066,-1.06371
